video_id,location_id,set_id,screenshots,timestamp,confidence,notes,source_rows
C3HDIYnQnkw,아메티지-스튜디오,아메티지-스튜디오--diner,7801c02f4879,,,,Ametage!3
C3HDIYnQnkw,아메티지-스튜디오,아메티지-스튜디오--hospital,0e686c43074c,,,,Ametage!3
C3HDIYnQnkw,아메티지-스튜디오,아메티지-스튜디오--gas-station,400af340bc7e,,,,Ametage!3
C3HDIYnQnkw,아메티지-스튜디오,아메티지-스튜디오--motel,9bbed5d0353e,,,,Ametage!3
8Z_aqJkIlQw,아메티지-스튜디오,아메티지-스튜디오--gas-station,bf12e3c567fd,,,,Ametage!4
8Z_aqJkIlQw,아메티지-스튜디오,아메티지-스튜디오--motel,0574b01e337c,,,,Ametage!4
_jONRhd7kO4,아메티지-스튜디오,아메티지-스튜디오--diner,bc3dbe27c7cc,,,,Ametage!5
_jONRhd7kO4,아메티지-스튜디오,아메티지-스튜디오--lobby,1867a62ac405,,,,Ametage!5
u4Ng8LI2ARI,아메티지-스튜디오,아메티지-스튜디오--gas-station,f4d0853762e3,,,,Ametage!6
u4Ng8LI2ARI,아메티지-스튜디오,아메티지-스튜디오--motel,3d42fdb135e6,,,,Ametage!6
pU8Gu5aOWZ0,아메티지-스튜디오,아메티지-스튜디오--diner,61e21f0c3ced,,,,Ametage!7
MFTWTOAK-ho,아메티지-스튜디오,아메티지-스튜디오--diner,e44c3bbaf3a7,,,,Ametage!8
OOBpREhRE8U,아메티지-스튜디오,아메티지-스튜디오--diner,40673c677491,,,,Ametage!9
OOBpREhRE8U,아메티지-스튜디오,아메티지-스튜디오--hospital,e5a2d39c63f3,,,,Ametage!9
OOBpREhRE8U,아메티지-스튜디오,아메티지-스튜디오--lobby,36972e9c2e91,,,,Ametage!9
OOBpREhRE8U,아메티지-스튜디오,아메티지-스튜디오--house,e190082319fd,,,,Ametage!9
i079STRbUBU,아메티지-스튜디오,아메티지-스튜디오--diner,3ed0034b7aa0,,,,Ametage!10
pes_X2XNokk,아메티지-스튜디오,아메티지-스튜디오--diner,75c239c0a38d,,,,Ametage!11
pes_X2XNokk,아메티지-스튜디오,아메티지-스튜디오--hospital,405f7ed58ff3,,,,Ametage!11
pes_X2XNokk,아메티지-스튜디오,아메티지-스튜디오--lobby,9a8dac4e4838,,,,Ametage!11
tEjf_oy30yM,아메티지-스튜디오,아메티지-스튜디오--diner,85dd41131a9f,,,,Ametage!12
tEjf_oy30yM,아메티지-스튜디오,아메티지-스튜디오--lobby,e6089d9ffb95,,,,Ametage!12
EErqrVZwAfk,아메티지-스튜디오,아메티지-스튜디오--diner,1c19c7408366,,,,Ametage!13
A9jy1Nr0AIE,아메티지-스튜디오,아메티지-스튜디오--diner,24ba3d79f160,,,,Ametage!14
FtU_D67tl64,아메티지-스튜디오,아메티지-스튜디오--diner,660e9354799e,,,,Ametage!15
FtU_D67tl64,아메티지-스튜디오,아메티지-스튜디오--lobby,84f07df764d6,,,,Ametage!15
dC985ExevHM,아메티지-스튜디오,아메티지-스튜디오--diner,c50d9baadfb4,,,,Ametage!16
PKo_Gmft7dU,아메티지-스튜디오,아메티지-스튜디오--diner,2bd9db35ef97,,,,Ametage!17
wvCb4HtUCZQ,아메티지-스튜디오,아메티지-스튜디오--diner,7720846ad1f2,,,,Ametage!18
wvCb4HtUCZQ,아메티지-스튜디오,아메티지-스튜디오--hospital,903802fbd0e7,,,,Ametage!18
wvCb4HtUCZQ,아메티지-스튜디오,아메티지-스튜디오--lobby,1d161a66f3a8,,,,Ametage!18
Np7PQvOo4Ks,아메티지-스튜디오,아메티지-스튜디오--diner,8c9a4d1808c8,,,,Ametage!19
Np7PQvOo4Ks,아메티지-스튜디오,아메티지-스튜디오--lobby,53dfd3dcdf7a,,,,Ametage!19
ISuVx0qPfGA,아메티지-스튜디오,아메티지-스튜디오--diner,870c6319583f,,,,Ametage!20
ISuVx0qPfGA,아메티지-스튜디오,아메티지-스튜디오--hospital,2e172c768306,,,,Ametage!20
ISuVx0qPfGA,아메티지-스튜디오,아메티지-스튜디오--lobby,dcb3be33652e,,,,Ametage!20
m6CIlftA5lo,아메티지-스튜디오,아메티지-스튜디오--diner,5825dae7aafb,,,,Ametage!21
m6CIlftA5lo,아메티지-스튜디오,아메티지-스튜디오--lobby,5922ccc653fe,,,,Ametage!21
yRSdPSQiAME,아메티지-스튜디오,아메티지-스튜디오--diner,43b9e7b34517,,,,Ametage!22
yRSdPSQiAME,아메티지-스튜디오,아메티지-스튜디오--lobby,c64b038b562d,,,,Ametage!22
HM2MJvqnOlE,아메티지-스튜디오,아메티지-스튜디오--diner,aec3c5e424d5,,,,Ametage!23
ieAyyfD6l7w,아메티지-스튜디오,아메티지-스튜디오--diner,4770047d9a45,,,,Ametage!24
ieAyyfD6l7w,아메티지-스튜디오,아메티지-스튜디오--hospital,8d29ff4ab5ba,,,,Ametage!24
ieAyyfD6l7w,아메티지-스튜디오,아메티지-스튜디오--lobby,d2e8d242eb33,,,,Ametage!24
