artist_id,name,name_ko,video_count
1million,1MILLION,원밀리언,2
1verse,1VERSE,유니버스,1
2pm,2PM,,2
3piece,3piece,쓰리피스,1
3ye,3YE,써드아이,1
82major,82MAJOR,82메이저,1
8turn,8TURN,에잇턴,2
90tan,90TAN,구공탄,1
ab6ix,AB6IX,에이비식스,4
ablume,ablume,어블룸,1
aespa,aespa,에스파,3
ahof,AHOF,아홉,1
aimers,AIMERS,에이머스,3
alexa,AleXa,알렉사,3
alice,ALICE,앨리스,1
all-h-ours,ALL(H)OURS,올아워즈,3
allday-project,ALLDAY PROJECT,,2
apink,Apink,에이핑크,1
artms,ARTMS,,1
asc2nt,ASC2NT,어센트 1ST MINI ALBUM,2
ash-b,Ash-B,애쉬비,1
ateez,ATEEZ,에이티즈,6
aylah,Aylah,,1
b-i,B.I,비아이,1
b1a4,B1A4,,1
babymonster,BABYMONSTER,,3
bada-바다,BADA[바다],BADA[바다],1
bae173,BAE173,,1
bbe-yana,BBE YANA,베이비 야나,1
be-o,BE'O,비오,1
beatburger,BeatBurger,비트버거,1
bewhy,BewhY,비와이,1
bibi,BIBI,비비,1
billlie,Billlie,빌리,5
blitzers,BLITZERS,블리처스,2
boa,BoA,보아,1
bol4,BOL4,볼빨간사춘기,1
boy-story,BOY STORY,,2
bts,BTS,방탄소년단,1
burvey,BURVEY,,1
bvndit,BVNDIT,밴디트,2
camo,CAMO,,1
catch-the-young,CATCH THE YOUNG,캐치더영,1
chancellor,Chancellor,챈슬러,1
chanhyun,CHANHYUN,찬현,1
charismatic,Charismatic,,2
chil-label,Chil Label,,1
chung-ha,CHUNG HA,청하,2
cix,CIX,씨아이엑스,1
class-y,CLASS:y,클라씨,1
close-your-eyes,CLOSE YOUR EYES,,1
cocanbutter,CocaNButter,,1
cravity,CRAVITY,크래비티,3
craxy,CRAXY,크랙시,2
csr,CSR,첫사랑,2
dahye,Dahye,다혜,1
day6,DAY6,,1
desire-project-origin,Desire Project : ORIGIN,,1
dignity,DIGNITY,디그니티,1
djb-esim,DJB eSIM,,1
dkb,DKB,다크비,1
dkz,DKZ,,1
dreamcatcher,Dreamcatcher,드림캐쳐,3
dress,dress,,1
drippin,DRIPPIN,드리핀,2
drunken-tiger,Drunken Tiger,드렁큰타이거,1
dxmon,DXMON,다이몬,1
dxteen,DXTEEN,,1
eite,eite,,1
enhypen,ENHYPEN,엔하이픈,1
epex,EPEX,이펙스,6
everglow,EVERGLOW,에버글로우,1
evnne,EVNNE,이븐,3
exid,EXID,,1
exo,EXO,엑소,1
fantasy-boys,FANTASY BOYS,판타지 보이즈,1
