location_id,name,name_source,identified,address,lat,lng,coords_source,maps_url,naver_url,website,instagram,reference_videos,photos,tags,source_rows,notes
아메티지-스튜디오,아메티지 스튜디오,sheet,yes,"South Korea, Gyeonggi-do, Yangju-si, Eunhyeon-myeon, Yongam-ri, 842-6 아메티지 스튜디오",37.853467,127.033355,google maps link,https://maps.app.goo.gl/ufonXKitY133kHSZ7,,https://www.ametage.com/space1.html,https://www.instagram.com/studio_ametage/,https://youtu.be/CojVB1aUDQw,ec22d8445c54,Ametage,Ametage!1,
콜롬버스-스튜디오,콜롬버스 스튜디오,sheet,yes,,37.697729,126.570402,google maps link,https://maps.app.goo.gl/th9o3HH71NLHgscFA,,https://www.columbus-studio.kr/HOME,https://www.instagram.com/columbus.studio/,,,Columbus,Columbus!1,
29-jiyeong-ro-100beon-gil-ilsandong-gu-goyang-si-gyeonggi-do,"29 Jiyeong-ro 100beon-gil, Ilsandong-gu, Goyang-si, Gyeonggi-do, South Korea",google maps,yes,29 Jiyeong-ro 100beon-gil,37.710247,126.824744,google maps link,https://maps.app.goo.gl/Rd2TfpJCnN9azQLu7,,https://www.columbus-studio.kr/studio_4th,,,,Columbus,Columbus!4,
columbus-spacerental-09,Columbus – spacerental_09,sub-header,yes,,,,,,,https://www.columbus-studio.kr/spacerental_09,,,,Columbus,Columbus!33,
columbus-spacerental-11,Columbus – spacerental_11,sub-header,yes,,,,,,,https://www.columbus-studio.kr/spacerental_11,,,,Columbus,Columbus!43,
columbus-spacerental-01,Columbus – spacerental_01,sub-header,yes,,,,,,,https://www.columbus-studio.kr/spacerental_01,,,,Columbus,Columbus!53,
columbus-1,Columbus #1,tab name,no,,,,,,,,,,,Columbus,Columbus!60,
mamago-마마고,MAMAGO / 마마고,sheet,yes,,37.599218,126.892481,sheet (DMS),https://maps.app.goo.gl/LELt4uXPHAt9R4Fo9,,https://www.mamago-info.com/,https://www.instagram.com/mamago_space,,,Mamago,Mamago!1,
mamago-피라미드,Mamago – 피라미드,sub-header,yes,,,,,,,https://www.mamago-info.com/%ED%99%8D%EC%B2%9C-%ED%94%BC%EB%9D%BC%EB%AF%B8%EB%93%9C,,,,Mamago,Mamago!4,
종로-낙원동-건국빌딩-주차타워,종로 낙원동 건국빌딩 주차타워,sheet,yes,,37.573718,126.987022,google maps link,https://maps.app.goo.gl/a2j6UUyHwHDtBM2x9,https://naver.me/5FeGRvV0,https://www.mamago-info.com/%EB%B3%B5%EC%A0%9C-%EC%82%BC%EC%84%B1%EB%8F%99-%ED%8D%BC%EC%8A%A4%ED%8A%B8-%EC%A3%BC%EC%B0%A8%ED%83%80%EC%9B%8C,,,,Mamago ; Parkings/Rooftops,Mamago!8,
