media_id,width,height,full_bytes,thumb_bytes
003f2b2d28ff,1920,1080,210656,21726
006052d47a5f,1920,1080,177610,18888
00899ffb24a3,1920,1080,132682,16618
01045588b807,1920,1080,115586,11006
01236490e164,1920,1080,196896,10302
0189d69c9642,1920,1080,65038,8160
01b333aa737f,1920,1080,54590,9408
0269e2e571a8,1920,1080,240782,21414
029c3074110c,1920,1080,120164,15426
02a5adbf9260,1920,1080,43438,7052
02e9849a63ed,1920,1080,101790,15298
03b69a54c130,1920,1080,116076,15918
03d1818451ce,1920,1080,142568,15816
03e90b4dd71b,1920,1080,125350,16288
03f0dcdb078f,1920,1080,59280,6436
046291cb70dc,1920,1080,107468,14408
04bea6c4db26,1920,1080,128342,17782
0574b01e337c,1920,1080,135988,15036
063a24bd9db3,1920,1080,169990,20286
0648bab1cb35,1920,1080,136210,16172
0665b2a62ae0,1920,1080,29578,4080
06e1a4d96042,1920,1080,103124,15364
07e5a7335b7a,1920,1080,35100,4038
07fbbdd68af9,1920,1080,75002,10796
08259b5c2e25,1920,1080,39732,5306
0839c09aa793,1920,1080,64588,7538
08f06aefea4b,1920,1080,51738,9122
0951444209ab,1920,1080,89826,9328
09867948af1f,1920,1080,119778,14392
0992931a7956,1920,1080,149910,18026
09a5db4b588f,1920,1080,170240,20554
09b07d59cfbe,1920,1080,50172,6336
09c3ba7c1089,1920,1080,140946,19522
09cc03cc76bd,1920,1080,82578,12418
09e28ff1f4da,1920,1080,42928,5634
0a0b5acaf29c,1920,1080,69636,6184
0a3eff73b035,1920,1080,107624,15022
0a640578526a,1920,1080,183338,10654
0b2be10958cf,1920,1080,219554,24056
0b554362e716,1920,1080,71632,10280
0b575195018a,1920,1080,112792,14592
0b61febeda74,1920,1080,70384,4830
0be5ef019ac2,1920,1080,142186,14928
0c81f4e39298,1920,1080,47906,6882
0cab4046efca,1920,1080,182244,20890
0cabecd8bd61,1920,1080,83378,9214
0caf21798e55,1920,1080,95600,13718
0d733c8d00cf,1920,1080,81902,10156
0dd0ad45288b,1920,1080,90586,11750
0e686c43074c,1920,1080,56698,8508
0ec951ceca8e,1920,1080,192366,17636
0f6912c8a9aa,1920,1080,37040,6056
0ff29d7ed17c,1920,1080,75570,10292
0ffdaeb9d771,1920,1080,102842,13144
104b740e03c5,1920,1080,73180,10204
110a6931d4b4,1920,1080,146292,13954
11c45fccc610,1920,1080,38024,4650
11f92d7ea4ad,1920,1080,169216,17198
1248cf961931,1920,1080,98792,12832
125ea71ea8f5,1920,1080,72704,8318
1298fa941f5a,1920,1080,223766,25608
134a74335384,1920,1080,79912,10748
135139a59cdb,1920,1080,50282,8362
139aa9b27a4e,1920,1080,59444,5756
141ea9290f56,1920,1080,73754,11238
142f325cd55e,1920,1080,78272,10920
15833a8a0628,2048,1448,1037746,40466
15882e25d60e,1920,1080,66340,7402
15f068a6e366,1920,1080,134970,15794
16380792d634,1920,1080,81566,11802
1693f38c05dd,1920,1080,84446,11924
16df6b43c221,1920,1080,51822,8508
17d2e00a1b08,1920,1080,30848,3912
17d9d9001097,1920,1080,98084,11174
1867a62ac405,1920,1080,138366,19784
186f0aa65f5a,1920,1080,114562,15092
18f9622ff450,1920,1080,104768,11324
19544100c9c9,1920,1080,84754,11952
19687d35f657,1920,1080,47706,5990
19ba7026ad16,1920,1080,81002,12386
1a292cd29772,1920,1080,40258,4680
1a45798d4aee,1920,1080,72860,10112
1aabf2f1c169,1920,1080,21816,3072
1bca4aa99b6c,1920,1080,131252,15868
1c19c7408366,1920,1080,130078,17104
1c6d47f5b7b7,1920,1080,105990,12484
1c9fca78bf6f,1920,1080,189808,24768
1d0349b80f7d,1920,1080,84030,11944
1d161a66f3a8,1920,1080,65324,9786
1d4f8ca68c6e,1920,1080,62778,8272
1d597d91aeb1,1920,1080,211518,16886
1dd87361f7bb,1920,1080,66158,8500
1def2cfb01bc,1920,1080,124014,16090
1e1556d21a8f,1920,1080,239232,23616
1e49e7ff671d,1920,1080,148302,15414
1ec3767f59d6,1920,1080,67472,8412
1f2a97e8a5c3,1920,1080,54578,7896
1f32be89e130,1920,1080,54500,7818
1f813050d33d,1920,1080,71378,7430
1f83d3cdebf3,1920,1080,106172,13540
207fdcd4df44,1920,1080,136010,14138
20853b5c2b57,1920,1080,155132,20254
20ee3cfa0517,1920,1080,39018,6046
213147403f15,1920,1080,195476,17592
214b49baec8a,1920,1080,58428,9590
2170d918355f,1920,1080,50760,6494
21a4ccd20b32,1920,1080,95116,10480
2484857b9a2d,1920,1080,49514,6954
2484a5dde96f,1920,1080,71608,8470
249cb2d22660,1920,1080,242356,22958
24b71b38b6ab,1920,1080,256812,18800
