tab,row,issue,detail
Ametage,73,several videos in one cell,https://youtu.be/vi048osrhgw | https://youtu.be/msDAoECVMUM
Columbus,1,location without videos,콜롬버스-스튜디오: 콜롬버스 스튜디오
Columbus,33,no coordinates,columbus-spacerental-09: add a Google Maps link or lat/lng
Columbus,43,no coordinates,columbus-spacerental-11: add a Google Maps link or lat/lng
Columbus,53,no coordinates,columbus-spacerental-01: add a Google Maps link or lat/lng
Columbus,60,location not identified,"columbus-1: no name, address or map link"
Mamago,1,location without videos,mamago-마마고: MAMAGO / 마마고
Mamago,4,no coordinates,mamago-피라미드: add a Google Maps link or lat/lng
Mamago,15,no coordinates,mamago-와이키키s-와이키키h: add a Google Maps link or lat/lng
Copy of Columbus,2,location not identified,"copy-of-columbus: no name, address or map link"
Geobug Island,22,location not identified,"geobug-island-1: no name, address or map link"
Helipads,38,location not identified,"helipads-1: no name, address or map link"
Parkings/Rooftops,14,location not identified,"parkings-rooftops-1: no name, address or map link"
Parkings/Rooftops,20,location not identified,"parkings-rooftops-2: no name, address or map link"
Parkings/Rooftops,37,location not identified,"parkings-rooftops-5: no name, address or map link"
Parkings/Rooftops,40,location not identified,"parkings-rooftops-6: no name, address or map link"
Parkings/Rooftops,60,link to another tab,'Mamago' → '종로 낙원동 건국빌딩 주차타워' is also listed under Parkings/Rooftops
Everland,1,header ignored,no place and no videos: https://www.everland.com/web/images/front/multi/english/everland/common/en_everland.pdf
Lotte World,10,location not identified,"lotte-world-1: no name, address or map link"
Lotte World,13,location not identified,"lotte-world-2: no name, address or map link"
Carwash/Gas Station,40,every set marked X,'RESCENE (리센느) 'Heart Drop' Official M/V' has no screenshot in any set column
Grangar,2,location not identified,"grangar: no name, address or map link"
Hangar bazar,2,location not identified,"hangar-bazar-1: no name, address or map link"
Hangar bazar,5,location not identified,"hangar-bazar-2: no name, address or map link"
Hangar bazar,23,location not identified,"hangar-bazar-3: no name, address or map link"
Hangar bazar,32,location not identified,"hangar-bazar-4: no name, address or map link"
Hangar bazar,36,location not identified,"hangar-bazar-5: no name, address or map link"
Studio Heal,1,duplicate location merged,same link as Parkings/Rooftops!42
Quarries,2,location not identified,"quarries-1: no name, address or map link"
Quarries,8,location not identified,"quarries-2: no name, address or map link"
Quarries,12,location not identified,"quarries-3: no name, address or map link"
Quarries,16,location not identified,"quarries-4: no name, address or map link"
Abandoned Park,16,location not identified,"abandoned-park-1: no name, address or map link"
Abandoned Park,24,location not identified,"abandoned-park-2: no name, address or map link"
Abandoned Park,29,location not identified,"abandoned-park-3: no name, address or map link"
Swimming Pools,2,location not identified,"swimming-pools-1: no name, address or map link"
Swimming Pools,5,location not identified,"swimming-pools-2: no name, address or map link"
Swimming Pools,8,location not identified,"swimming-pools-3: no name, address or map link"
Swimming Pools,13,location not identified,"swimming-pools-4: no name, address or map link"
4x4,2,location not identified,"4x4: no name, address or map link"
Forest of Wisdom,1,location not identified,"forest-of-wisdom: no name, address or map link"
Tunnels,2,video without a link,'SNSD - You Think' — add the YouTube link
Tunnels,2,location not identified,"tunnels: no name, address or map link"
Concrete,1,location not identified,"concrete: no name, address or map link"
Arena,2,location not identified,"arena: no name, address or map link"
Docks,13,location not identified,"docks-2: no name, address or map link"
Balcon,2,location not identified,"balcon: no name, address or map link"
Maison,2,location not identified,"maison-1: no name, address or map link"
Maison,4,location not identified,"maison-2: no name, address or map link"
Streets,2,location not identified,"streets-1: no name, address or map link"
Streets,11,location not identified,"streets-2: no name, address or map link"
Interiors,2,location not identified,"interiors-1: no name, address or map link"
Interiors,6,location not identified,"interiors-2: no name, address or map link"
Interiors,9,location not identified,"interiors-3: no name, address or map link"
Interiors,12,location not identified,"interiors-4: no name, address or map link"
Wave,2,location not identified,"wave: no name, address or map link"
,,video not embeddable or gone,EErqrVZwAfk (http 403): 구만 (qman) (9.10000) - 파란만장 (WWAVE) MV
,,video not embeddable or gone,A9jy1Nr0AIE (http 403): 구만 (qman) (9.10000) - Supercar MV
,,video not embeddable or gone,vvJqDdGnMqI (http 403): 찬현 (CHANHYUN) - 쉿 (Shhh) (Feat. Leellamarz) (Prod. by GRAY) MV
,,video not embeddable or gone,HHKTh61kYwI (http 403): Aylah - 'Stupid Cupid' Official MV
,,video not embeddable or gone,gH14nS5NC0g (http 403): (MV)온앤오프 (ONF)_Why
,,video not embeddable or gone,hwWgRzRu22c (http 403): [M/V] 헤일로 (HALO) - O.M.G.
,,artist not recognised,vi048osrhgw: 𝒕𝒉𝒊𝒏𝒌𝒊𝒏𝒈 𝒂𝒃𝒐𝒖𝒕 𝑲𝒂𝒆𝒅𝒆&𝑲𝒐𝒕𝒐𝒏𝒆 𝒆𝒗𝒆𝒓𝒚 𝒏𝒊𝒈𝒉𝒕 #tripleS #트리플에스 #トリプルS #トリプルエス #トエス #Kaede #카에데 #Kotone #코토네
,,artist not recognised,msDAoECVMUM: 서아는 수민이만의 꾹꾹이 #tripleS #트리플에스 #トリプルS#トリプルエス #トエス#SooMin #수민 #スミン#SeoAh #서아 #ソア
,,artist not recognised,jfOpltd2lbU: ICHILLIN'(아이칠린) KICK-START MV
,,artist not recognised,GRgUK0JGoNg: H1-KEY(하이키) 뜨거워지자(Let It Burn) Official M/V
,,artist not recognised,PMLPefdwM00: VICTON 빅톤 Mayday (메이데이) MV
,,artist not recognised,-Fd2sdSaby8: [#LUCY] 한 편의 만화 같은📗 #우주소녀 #설아 님의 #전체관람가 #루시 #WJSN #SEOLA
,,artist not recognised,imgur-Pqcj3tf: 
,,artist not recognised,ig-DQlqeDGkj1G: 
,,artist not recognised,9cJIVzT7YVY: [무슈스 x 리센느] 무슈스 함 무 보이소_사투리 ver.
,,artist not recognised,XjkTVx9V5dE: [M/V] 'The One' 드리핀(DRIPPIN)
,,artist not recognised,pBpr9TnhhkE: 𝗩𝟴 'singasong' Official MV
,,artist not recognised,x6ICoe6Ntnw: NewL 뉴엘 Sweet Palace Official MV (Clean Ver)
,,artist not recognised,xnwOfIiZ-zQ: 휘인(Whee In) The Symphony of Fxxkboys MV
