set_id,location_id,name,source,website
아메티지-스튜디오--diner,아메티지-스튜디오,DINER,column label,
아메티지-스튜디오--hospital,아메티지-스튜디오,HOSPITAL,column label,
아메티지-스튜디오--gas-station,아메티지-스튜디오,GAS STATION,column label,
아메티지-스튜디오--lobby,아메티지-스튜디오,LOBBY,column label,
아메티지-스튜디오--motel,아메티지-스튜디오,MOTEL,column label,
아메티지-스튜디오--house,아메티지-스튜디오,HOUSE,column label,
아메티지-스튜디오--carpe-diem,아메티지-스튜디오,CARPE DIEM,column label,
아메티지-스튜디오--subway-station,아메티지-스튜디오,SUBWAY STATION,column label,
아메티지-스튜디오--space-station,아메티지-스튜디오,SPACE STATION,column label,
아메티지-스튜디오--train-station,아메티지-스튜디오,TRAIN STATION,column label,
아메티지-스튜디오--prison,아메티지-스튜디오,PRISON,column label,
아메티지-스튜디오--movie-box,아메티지-스튜디오,MOVIE BOX,column label,
아메티지-스튜디오--street,아메티지-스튜디오,STREET,column label,
mamago-와이키키s-와이키키h--spot-1,mamago-와이키키s-와이키키h,Spot 1,unlabelled column,
mamago-와이키키s-와이키키h--spot-2,mamago-와이키키s-와이키키h,Spot 2,unlabelled column,
mamago-와이키키s-와이키키h--spot-3,mamago-와이키키s-와이키키h,Spot 3,unlabelled column,
mamago-와이키키s-와이키키h--spot-4,mamago-와이키키s-와이키키h,Spot 4,unlabelled column,
mamago-와이키키s-와이키키h--spot-5,mamago-와이키키s-와이키키h,Spot 5,unlabelled column,
mamago-와이키키s-와이키키h--spot-6,mamago-와이키키s-와이키키h,Spot 6,unlabelled column,
acres-space-gas-station--spot-1,acres-space-gas-station,Spot 1,unlabelled column,
acres-space-gas-station--spot-2,acres-space-gas-station,Spot 2,unlabelled column,
acres-space-gas-station--spot-3,acres-space-gas-station,Spot 3,unlabelled column,
acres-space-gas-station--spot-4,acres-space-gas-station,Spot 4,unlabelled column,
provoke-seoul--outside,provoke-seoul,OUTSIDE,column label,
provoke-seoul--hallway,provoke-seoul,HALLWAY,column label,
provoke-seoul--hangar,provoke-seoul,HANGAR,column label,
provoke-seoul--hangar-2,provoke-seoul,HANGAR 2,column label,
provoke-seoul--stairs,provoke-seoul,STAIRS,column label,
provoke-seoul--bath,provoke-seoul,BATH,column label,
provoke-seoul--chimneys,provoke-seoul,CHIMNEYS,column label,
465-21-mongsan-ri-nam-myeon-taean-gun-chungcheongnam-do-sout--spot-1,465-21-mongsan-ri-nam-myeon-taean-gun-chungcheongnam-do-sout,Spot 1,unlabelled column,
465-21-mongsan-ri-nam-myeon-taean-gun-chungcheongnam-do-sout--spot-2,465-21-mongsan-ri-nam-myeon-taean-gun-chungcheongnam-do-sout,Spot 2,unlabelled column,
465-21-mongsan-ri-nam-myeon-taean-gun-chungcheongnam-do-sout--spot-3,465-21-mongsan-ri-nam-myeon-taean-gun-chungcheongnam-do-sout,Spot 3,unlabelled column,
465-21-mongsan-ri-nam-myeon-taean-gun-chungcheongnam-do-sout--spot-4,465-21-mongsan-ri-nam-myeon-taean-gun-chungcheongnam-do-sout,Spot 4,unlabelled column,
465-21-mongsan-ri-nam-myeon-taean-gun-chungcheongnam-do-sout--spot-5,465-21-mongsan-ri-nam-myeon-taean-gun-chungcheongnam-do-sout,Spot 5,unlabelled column,
abandoned-park-1--spot-1,abandoned-park-1,Spot 1,unlabelled column,
abandoned-park-1--spot-2,abandoned-park-1,Spot 2,unlabelled column,
abandoned-park-3--spot-1,abandoned-park-3,Spot 1,unlabelled column,
abandoned-park-3--spot-2,abandoned-park-3,Spot 2,unlabelled column,
abandoned-park-3--spot-3,abandoned-park-3,Spot 3,unlabelled column,
abandoned-park-3--spot-4,abandoned-park-3,Spot 4,unlabelled column,
acres-space-subway--spot-1,acres-space-subway,Spot 1,unlabelled column,
acres-space-subway--spot-2,acres-space-subway,Spot 2,unlabelled column,
acres-space-subway--spot-3,acres-space-subway,Spot 3,unlabelled column,
forest-of-wisdom--spot-1,forest-of-wisdom,Spot 1,unlabelled column,
forest-of-wisdom--spot-2,forest-of-wisdom,Spot 2,unlabelled column,
royal-x--spot-1,royal-x,Spot 1,unlabelled column,
royal-x--spot-2,royal-x,Spot 2,unlabelled column,
royal-x--spot-3,royal-x,Spot 3,unlabelled column,
