video_id,platform,url,title,title_in_sheet,channel,artist_ids,song,type,status
C3HDIYnQnkw,youtube,https://www.youtube.com/watch?v=C3HDIYnQnkw,[Queenz Eye] 'UN-NORMAL' M/V,[Queenz Eye] 'UN-NORMAL' M/V,Queenz Eye (퀸즈아이),queenz-eye,UN-NORMAL,mv,ok
8Z_aqJkIlQw,youtube,https://www.youtube.com/watch?v=8Z_aqJkIlQw,(MV)LEE CHAE YEON(이채연)_LET'S DANCE,(MV)LEE CHAE YEON(이채연)_LET'S DANCE,LEE CHAEYEON,lee-chae-yeon,,mv,ok
_jONRhd7kO4,youtube,https://www.youtube.com/watch?v=_jONRhd7kO4,BLITZERS(블리처스) - 마카레나(Macarena) Official MV,BLITZERS(블리처스) - 마카레나(Macarena) Official MV,BLITZERS OFFICIAL,blitzers,,mv,ok
u4Ng8LI2ARI,youtube,https://www.youtube.com/watch?v=u4Ng8LI2ARI,[MV] Izykite(이지카이트) _ HEY,[MV] Izykite(이지카이트) _ HEY,1theK (원더케이),izykite,,mv,ok
pU8Gu5aOWZ0,youtube,https://www.youtube.com/watch?v=pU8Gu5aOWZ0,XIUMIN 시우민 'Brand New' MV,XIUMIN 시우민 'Brand New' MV,SMTOWN,xiumin,Brand New,mv,ok
MFTWTOAK-ho,youtube,https://www.youtube.com/watch?v=MFTWTOAK-ho,TRENDZ(트렌드지) 'NEW DAYZ' Official MV,TRENDZ(트렌드지) 'NEW DAYZ' Official MV,TRENDZ(트렌드지),trendz,NEW DAYZ,mv,ok
OOBpREhRE8U,youtube,https://www.youtube.com/watch?v=OOBpREhRE8U,TAN (티에이엔) 'Beautiful LIE' Official MV [ENG],TAN (티에이엔) 'Beautiful LIE' Official MV [ENG],TAN-Official,tan,Beautiful LIE,mv,ok
i079STRbUBU,youtube,https://www.youtube.com/watch?v=i079STRbUBU,STAYC(스테이씨) 'BEAUTIFUL MONSTER' Performance POWER Ver.,STAYC(스테이씨) 'BEAUTIFUL MONSTER' Performance POWER Ver.,STAYC,stayc,BEAUTIFUL MONSTER,performance,ok
pes_X2XNokk,youtube,https://www.youtube.com/watch?v=pes_X2XNokk,SKYLE(스카이리) - Bye Bye Bye M/V,SKYLE(스카이리) - Bye Bye Bye M/V,SKYLE  ,skyle,,mv,ok
tEjf_oy30yM,youtube,https://www.youtube.com/watch?v=tEjf_oy30yM,[MV] Rolling Quartz(롤링쿼츠) - NAZABABARA,[MV] Rolling Quartz(롤링쿼츠) - NAZABABARA,미러볼 뮤직 - Mirrorball Music,rolling-quartz,,mv,ok
EErqrVZwAfk,youtube,https://www.youtube.com/watch?v=EErqrVZwAfk,구만 (qman) (9.10000) - 파란만장 (WWAVE) MV,구만 (qman) (9.10000) - 파란만장 (WWAVE) MV,,qman,,mv,http 403
